Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:86410000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
86410000;1;01/10/2018;;1;1;413,601;47,72;129,481;3;24;1;1;1;;0;74,888;91,598;413,601;316,172;174,254;124,423;98,813;90,188;79,339;119,112;92,389;77,099;312,285;258,722;149,457;108,772;90,188;83,909;90,188;78,589;61,591;61,591;54,449;47,72;50,119;47,72;259,922;162,161;102,916;78,589;163,155;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/09/2018;;1;1;572,667;69,142;153,085;2;30;1;1;1;0;0;243,334;572,667;457,896;365,64;251,573;171,198;140,908;110,469;103,745;92,389;83,909;78,589;70,558;86,239;147,54;136,247;114,758;162,161;156,246;106,247;90,988;81,609;79,339;85,459;130,736;130,736;106,247;93,979;71,988;69,142;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86410000;1;01/08/2018;;1;1;210,387;41,964;90,826;25;19;1;1;1;0;0;91,598;75,622;79,339;98,813;74,888;67,739;59,602;51,954;100,446;121,756;85,459;69,142;62,933;60,262;55,717;48,315;45,376;44,225;41,964;45,957;120,872;198,399;185,644;144,683;210,387;162,161;112,177;90,988;77,842;67,739;63,61;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/07/2018;;1;1;511,171;45,376;117,8;26;16;1;1;1;0;0;119,991;96,384;94,778;96,384;184,597;144,683;110,469;92,389;79,339;68,438;64,973;59,602;51,954;49,514;47,129;45,376;184,597;126,214;83,139;72,708;71,272;63,61;58,294;52,573;163,155;511,171;290,626;177,332;151,385;133,48;106,247;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/06/2018;;1;1;344,14;25,448;72,135;13;10;1;1;1;0;0;28,164;34,489;43,088;26,339;31,986;32,479;38,677;37,609;37,08;25,448;29,098;77,842;344,14;182,509;103,745;79,339;65,659;51,339;64,289;50,728;51,339;44,225;43,088;43,655;76,359;137,174;111,322;89,391;76,359;107,086;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86410000;1;01/05/2018;;1;1;214,817;12,521;42,397;19;1;1;1;1;0;0;12,521;14,154;14,492;15,881;14,492;13,82;16,238;14,492;16,238;14,492;14,492;13,49;14,492;12,84;15,179;33,981;22,441;25,891;214,817;203,813;130,736;91,598;60,262;53,195;48,913;46,541;40,305;41,407;31,009;30,046;22,026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86410000;1;01/04/2018;;1;1;52,573;13,82;25,437;1;14;3;3;3;0;0;52,573;51,954;47,129;47,129;38,141;35;28,164;16,962;18,076;22,026;16,962;21,207;19,223;13,82;30,046;35,515;25,007;26,339;21,207;18,455;15,529;28,164;15,881;19,612;18,076;16,962;17,701;14,834;16,238;15,179;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;0;
86410000;1;01/03/2018;;1;1;88,598;8,984;31,679;26;11;1;1;1;0;0;21,615;19,223;18,837;24,138;18,837;17,701;11,893;15,529;18,076;10,102;8,984;11,281;20,403;12,205;15,179;42,524;34,489;24,571;17,701;50,119;62,26;50,119;28,164;26,79;72,708;88,598;55,082;49,514;31,495;53,195;50,728;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86410000;1;01/02/2018;;1;1;40,305;14,154;26,449;22;19;1;1;1;0;0;31,986;38,141;28,629;28,629;25,891;27,244;16,962;22,86;23,282;16,598;30,046;28,629;28,164;36,033;20,403;20,403;20,803;16,238;14,154;39,216;36,033;40,305;27,244;24,138;21,615;20,403;22,026;34,489;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
86410000;1;01/01/2018;;1;1;115,624;20,006;50,014;24;13;1;1;1;0;0;53,195;55,082;61,591;50,728;43,655;31,986;29,098;23,708;28,164;31,009;35;31,495;20,006;25,448;22,026;36,555;25,007;58,294;62,933;43,655;43,088;96,384;113,035;115,624;96,384;83,909;60,262;52,573;48,913;42,524;29,098;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
