Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:86160000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
86160000;1;01/09/2018;;1;1;128,378;15,164;46,849;2;23;1;1;1;0;0;80,095;128,378;88,828;90,533;81,32;61,195;48,672;39,155;32,727;27,302;24,244;22,289;20,868;22,05;25,754;28,887;23,258;37,652;29,423;23,749;19,942;17,269;15,164;26,782;87,136;104,654;72,519;52,032;39,155;34,433;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86160000;1;01/08/2018;;1;1;92,252;10,76;30,7;22;20;1;1;1;0;0;39,763;31,333;27,564;26,782;23,258;20,868;18,809;17,703;39,458;30,782;27,302;23,014;19,942;17,703;15,576;13,956;12,599;11,849;11,118;10,76;45,405;92,252;69,422;50,34;76,468;48,011;34,721;29,423;23,996;21,811;19,713;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86160000;1;01/07/2018;;1;1;163,236;14,757;56,731;26;16;3;3;3;0;0;49,336;42,859;48,672;38,551;78,879;56,185;43,49;34,721;28,355;26,266;26,782;22,05;20,403;17,486;16,413;14,757;121,534;127,391;77,669;56,89;51,352;39,458;31,61;28,355;138,931;163,236;102,843;73,301;80,503;56,89;43,49;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86160000;1;01/06/2018;;1;1;175,988;4,216;35,149;26;11;1;1;1;0;0;4,413;5,877;6,321;5,338;5,767;6,776;6,098;5,232;4,613;4,513;4,216;168,179;104,654;47,682;33,009;23,749;18,363;14,757;12,409;10,939;9,715;9,546;10,407;10,583;113,903;175,988;68,656;48,011;48,011;66,758;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86160000;1;01/05/2018;;1;1;40,681;2,928;7,8;20;14;1;1;1;0;0;4,413;4,216;3,832;3,832;3,832;3,832;3,46;3,46;3,552;3,832;3,552;3,19;3,102;2,928;2,928;3,644;3,644;4,817;28,355;40,681;25,754;17,703;12,789;10,059;7,76;6,661;5,987;5,551;5,127;4,714;4,613;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86160000;1;01/04/2018;;1;1;80,095;4,613;15,013;1;30;1;1;1;0;0;80,095;39,155;33,292;34,433;37,058;27,826;20,868;16,839;13,758;11,665;10,059;9,21;8,392;7,916;7,916;7,76;7,299;6,999;6,776;6,209;5,767;5,659;6,321;5,444;5,444;7,149;6,098;5,338;5,023;4,613;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
86160000;1;01/03/2018;;1;1;61,925;2,842;13,491;21;14;1;1;1;0;0;25,247;16,413;8,715;6,892;10,76;10,939;9,546;6,999;5,232;4,314;3,737;3,552;3,102;2,842;3,279;6,892;6,776;5,444;4,513;10,233;61,925;24,743;16,839;12,789;22,289;23,749;17,269;16,626;18,809;23,503;24,244;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86160000;1;01/02/2018;;1;1;18,142;3,46;6,359;27;19;1;1;1;0;0;8,073;7,299;6,776;5,659;5,444;5,023;4,613;4,413;4,714;4,413;7,299;11,481;9,715;7,916;5,877;4,817;4,216;3,832;3,46;3,926;4,817;6,547;5,767;4,817;4,022;4,022;18,142;10,939;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
86160000;1;01/01/2018;;1;1;61,925;3,102;15,24;23;9;1;1;1;0;0;4,817;6,434;10,583;7,76;5,023;4,314;3,644;3,279;3,102;3,19;3,737;4,022;15,576;22,05;14,757;26,782;20,868;13,956;10,407;7,76;5,877;20,868;61,925;59,746;35,299;26,266;19,485;15,576;13,562;12,221;9,546;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86160000;1;01/12/2017;;1;1;29,964;2,928;7,765;25;19;3;3;3;0;0;9,546;8,392;7,916;7,605;7,299;7,916;7,916;7,916;8,232;6,999;6,098;5,232;4,613;4,216;4,119;3,552;3,369;3,102;2,928;3,102;3,46;3,102;3,737;22,772;29,964;16,202;14,757;9,887;6,098;5,767;4,919;;;;;;;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
