Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:03052010


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
3052010;1;01/08/2018;1;52,9;132,1;31;10;1;1;1;;0;0,0;0,0;0,0;0,0;2,6;0,0;0,0;0,0;11,1;4,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,8;0,0;8,6;4,5;11,1;19,2;0,0;0,0;0,0;0,0;2,5;52,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3052010;1;01/07/2018;1;68,8;225,3;26;14;1;1;1;;0;0,0;1,7;26,8;0,0;0,0;3,1;7,6;28,0;2,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,7;0,0;0,0;10,1;9,1;0,0;5,7;17,1;68,8;5,8;0,0;17,5;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3052010;1;01/06/2018;1;36,4;110,2;11;10;1;1;1;;0;0,0;9,5;2,1;0,0;0,0;8,7;0,0;0,0;0,0;0,0;36,4;10,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,7;0,0;20,3;0,0;1,4;0,0;0,0;2,7;10,7;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3052010;1;01/05/2018;1;50,1;87,0;3;6;1;1;1;;0;0,0;4,3;50,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,3;0,8;0,0;0,0;0,0;0,0;0,0;0,0;23,9;6,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3052010;1;01/04/2018;1;19,7;96,0;21;7;1;1;1;;0;0,0;16,1;2,8;16,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,7;17,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,7;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3052010;1;01/03/2018;1;62,7;112,7;25;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,9;0,0;1,8;31,1;0,0;0,0;0,0;12,7;0,0;0,0;0,0;0,0;0,0;62,7;1,5;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3052010;1;01/02/2018;1;46,9;120,4;12;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,9;0,0;46,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,1;17,3;17,5;0,0;0,0;0,0;0,0;0,0;3,7;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
3052010;1;01/01/2018;1;27,9;59,3;18;8;1;1;1;;0;4,3;5,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,1;7,2;0,0;0,0;27,9;0,0;0,0;0,0;0,0;1,5;0,0;0,0;0,0;0,0;4,5;2,9;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3052010;1;01/12/2017;1;24,8;34,7;24;3;1;1;1;;0;0,0;0,0;0,0;6,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,1;0,0;0,0;0,0;0,0;0,0;0,0;24,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3052010;1;01/11/2017;1;16,4;69,4;4;7;1;1;1;;0;0,0;0,0;2,7;16,4;14,1;0,0;0,0;15,8;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,7;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3052010;1;01/10/2017;1;90,4;282,1;13;10;1;1;1;;0;0,0;21,1;1,8;0,0;0,0;6,6;0,0;0,0;0,0;0,0;8,5;23,6;90,4;4,1;0,0;0,0;0,0;0,0;74,8;0,0;0,0;37,1;0,0;0,0;0,0;0,0;0,0;14,1;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
